,id,artist,title,album,popularity
62,07pJdL0L9XDGW0HBj0rIS2,MadeinTYO,Skateboard P (feat. Big Sean),Skateboard P (feat. Big Sean),63
63,07q0QVgO56EorrSGHC48y3,KISS,I Was Made For Lovin' You,Dynasty,78
64,0832Tptls5YicHPGgw7ssP,The Rolling Stones,Beast Of Burden - Remastered,Some Girls,0
65,08Bfk5Y2S5fCxgxk371Eel,Rihanna,S&M,Loud,56
66,08L9CqE2FlJcOe4kzr95Pz,Dasco,Everybody Like! (feat. Tristan Henry),Everybody Like! (feat. Tristan Henry),42
67,08PLAqCZjNbSWFApaxZbIR,Merk & Kremont,KIDS - MorganJ Remix,KIDS (MorganJ Remix),26
68,08ZZqyOaZ4ntAmBY6A32qL,Metallica,Hardwired,Hardwired…To Self-Destruct (Deluxe),43
69,08bNPGLD8AhKpnnERrAc6G,Marshmello,FRIENDS,FRIENDS,82
70,08cXy6KUizaAelYXtcew3w,Milo Greene,1957,Milo Greene,60
71,08mG3Y1vljYA6bvDt4Wqkj,AC/DC,Back In Black,Back In Black,83
72,08uGhvS5MfBk7crUCpnjva,Jamie Foxx,Blame It,Intuition,66
73,08wJ1B9yu9sPeoRa5fbpr3,Brothers Osborne,It Ain't My Fault,Pawn Shop,66
74,08zJpaUQVi9FrKv2e32Bah,Jeremih,Planez,Late Nights: The Album,72
75,091v7TIPqq4LeZFFEQapev,LÉON,You And I - R3HAB Remix,You And I (R3HAB Remix),49
76,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,Sorry,Purpose (Deluxe),80
77,09DIDyS6p71dhR9AB5H5J0,Saxity,Complicated (KRIK. Remix),Complicated (KRIK. Remix),45
78,09IStsImFySgyp0pIQdqAc,Zedd,The Middle,The Middle,83
79,09ScsbB2UDlgxanSwVMogy,Location,Huldas Chemistry,Drop The Silence,34
80,09T6mVuYUjYyElPYf0ERSa,Galantis,Runaway (U & I) - East & Young Remix,Runaway (U & I) [Remixes],32
81,09oZ9eXQ2fo6YDrPzJqAoP,Khalid,Outta My Head (with John Mayer),Free Spirit,71
82,09yhMTRqQ1I1dniu3PoIQi,Lost Kings,Don't Kill My High,Paper Crowns (Deluxe),66
83,0A5gdlrpAuQqZ2iFgnqBFW,Gaullin,Moonlight,Moonlight,75
84,0A5go0YrRvse0ufcqAjF5o,Willa,Hey,Criminals + Dreamers,24
85,0AKejOKlGdiB53QpwAeenO,Maroon 5,Don't Wanna Know,Don't Wanna Know,1
86,0AOvNRgl0SMfOibWA5bP8o,Kendrick Lamar,Money Trees,"good kid, m.A.A.d city (Deluxe)",64
87,0AWYvdcS6N463VlsbrzijH,Foals,The Runner,The Runner,50
88,0AfYeE3bfJRcq9J2hUJXmM,MARINA,How to Be a Heartbreaker,How to Be a Heartbreaker,62
89,0AhJag7VI8uFf3mJFsTwvf,Lil Uzi Vert,I Can Show You,Eternal Atake (Deluxe) - LUV vs. The World 2,65
90,0ArBRpXrs9AcKy8gutwAOt,Mernuve,Source,Source,45
91,0AtP8EkGPn6SwxKDaUuXec,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),No.6 Collaborations Project,73
92,0AuFxpp4TJyybt9vv5fUnQ,Excision,Home,Apex,46
93,0B2HnnuM1eV2zbJCAObyPN,Youngin Able,Cartiflow2000++,Cartiflow2000++,18
