,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
57,0.751,0.284,2,-12.736,1,0.256,0.956,0.935,0.0704,0.515,105.014,audio_features,01Dww8CXOCdh4QouQd8N5T,spotify:track:01Dww8CXOCdh4QouQd8N5T,https://api.spotify.com/v1/tracks/01Dww8CXOCdh4QouQd8N5T,https://api.spotify.com/v1/audio-analysis/01Dww8CXOCdh4QouQd8N5T,73144,4
58,0.678,0.443,10,-17.799,0,0.0503,0.652,0.915,0.106,0.0624,129.989,audio_features,1g06pPqDZy2CRubI5Kuy8z,spotify:track:1g06pPqDZy2CRubI5Kuy8z,https://api.spotify.com/v1/tracks/1g06pPqDZy2CRubI5Kuy8z,https://api.spotify.com/v1/audio-analysis/1g06pPqDZy2CRubI5Kuy8z,214000,4
59,0.566,0.281,1,-11.994,1,0.0319,0.96,0.927,0.275,0.148,55.55,audio_features,6N1F5WFihkNFoI8BZ4kGDP,spotify:track:6N1F5WFihkNFoI8BZ4kGDP,https://api.spotify.com/v1/tracks/6N1F5WFihkNFoI8BZ4kGDP,https://api.spotify.com/v1/audio-analysis/6N1F5WFihkNFoI8BZ4kGDP,62598,4
60,0.459,0.518,10,-9.398,0,0.0783,0.513,0.219,0.171,0.224,77.703,audio_features,3wJTCCMHtuOdDg4fJzkd0i,spotify:track:3wJTCCMHtuOdDg4fJzkd0i,https://api.spotify.com/v1/tracks/3wJTCCMHtuOdDg4fJzkd0i,https://api.spotify.com/v1/audio-analysis/3wJTCCMHtuOdDg4fJzkd0i,164936,4
61,0.686,0.373,11,-16.007,0,0.118,0.532,0.926,0.075,0.203,83.203,audio_features,4pI7VTiN59CZnGJUgVZPoy,spotify:track:4pI7VTiN59CZnGJUgVZPoy,https://api.spotify.com/v1/tracks/4pI7VTiN59CZnGJUgVZPoy,https://api.spotify.com/v1/audio-analysis/4pI7VTiN59CZnGJUgVZPoy,156000,4
62,0.682,0.328,3,-6.41,0,0.0342,0.73,0.9,0.0978,0.302,83.992,audio_features,08lctzE8dgIbSfyz84XHNr,spotify:track:08lctzE8dgIbSfyz84XHNr,https://api.spotify.com/v1/tracks/08lctzE8dgIbSfyz84XHNr,https://api.spotify.com/v1/audio-analysis/08lctzE8dgIbSfyz84XHNr,119754,4
63,0.698,0.352,4,-8.849,0,0.128,0.0179,0.462,0.118,0.135,82.063,audio_features,2zxwEpGLcOvKtZaZEnkD6E,spotify:track:2zxwEpGLcOvKtZaZEnkD6E,https://api.spotify.com/v1/tracks/2zxwEpGLcOvKtZaZEnkD6E,https://api.spotify.com/v1/audio-analysis/2zxwEpGLcOvKtZaZEnkD6E,156000,4
64,0.372,0.129,10,-12.938,0,0.0675,0.442,0.466,0.117,0.126,75.034,audio_features,0Sts0gEUHOaWCaShDTzu02,spotify:track:0Sts0gEUHOaWCaShDTzu02,https://api.spotify.com/v1/tracks/0Sts0gEUHOaWCaShDTzu02,https://api.spotify.com/v1/audio-analysis/0Sts0gEUHOaWCaShDTzu02,138000,4
65,0.596,0.354,10,-9.689,1,0.141,0.622,0.917,0.141,0.162,85.949,audio_features,4h4TKcnaFcbnI60YbOsULN,spotify:track:4h4TKcnaFcbnI60YbOsULN,https://api.spotify.com/v1/tracks/4h4TKcnaFcbnI60YbOsULN,https://api.spotify.com/v1/audio-analysis/4h4TKcnaFcbnI60YbOsULN,145116,4
66,0.345,0.0796,11,-19.18,1,0.0359,0.914,0.921,0.0984,0.038,101.459,audio_features,6Ueaikv9p3jrvyRPNpKbw4,spotify:track:6Ueaikv9p3jrvyRPNpKbw4,https://api.spotify.com/v1/tracks/6Ueaikv9p3jrvyRPNpKbw4,https://api.spotify.com/v1/audio-analysis/6Ueaikv9p3jrvyRPNpKbw4,180000,3
