,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
8,0.733,0.676,10,-5.655,0,0.0432,0.0697,0.0,0.208,0.701,97.448,audio_features,0fgZUSa7D7aVvv3GfO0A1n,spotify:track:0fgZUSa7D7aVvv3GfO0A1n,https://api.spotify.com/v1/tracks/0fgZUSa7D7aVvv3GfO0A1n,https://api.spotify.com/v1/audio-analysis/0fgZUSa7D7aVvv3GfO0A1n,226581,4
9,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,audio_features,5WoaF1B5XIEnWfmb5NZikf,spotify:track:5WoaF1B5XIEnWfmb5NZikf,https://api.spotify.com/v1/tracks/5WoaF1B5XIEnWfmb5NZikf,https://api.spotify.com/v1/audio-analysis/5WoaF1B5XIEnWfmb5NZikf,259333,4
10,0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989,audio_features,6Hgh47WXVKtXN5zGOu0hjI,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/tracks/6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/audio-analysis/6Hgh47WXVKtXN5zGOu0hjI,263014,4
11,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,audio_features,1Tt4sE4pXi57mTD1GCzsqm,spotify:track:1Tt4sE4pXi57mTD1GCzsqm,https://api.spotify.com/v1/tracks/1Tt4sE4pXi57mTD1GCzsqm,https://api.spotify.com/v1/audio-analysis/1Tt4sE4pXi57mTD1GCzsqm,191600,4
12,0.865,0.394,11,-12.235,1,0.0528,0.0832,0.00231,0.302,0.643,115.936,audio_features,5W3Y5I9y5ps6M6rl09e7zg,spotify:track:5W3Y5I9y5ps6M6rl09e7zg,https://api.spotify.com/v1/tracks/5W3Y5I9y5ps6M6rl09e7zg,https://api.spotify.com/v1/audio-analysis/5W3Y5I9y5ps6M6rl09e7zg,521693,4
13,0.897,0.431,3,-12.234,0,0.0481,0.00206,0.0395,0.0377,0.857,115.552,audio_features,0Of5lCNEqh62twRkQIOLuK,spotify:track:0Of5lCNEqh62twRkQIOLuK,https://api.spotify.com/v1/tracks/0Of5lCNEqh62twRkQIOLuK,https://api.spotify.com/v1/audio-analysis/0Of5lCNEqh62twRkQIOLuK,364947,4
14,0.799,0.878,1,-7.109,1,0.0434,0.189,0.000105,0.14,0.816,104.284,audio_features,2NVpYQqdraEcQwqT7GhUkh,spotify:track:2NVpYQqdraEcQwqT7GhUkh,https://api.spotify.com/v1/tracks/2NVpYQqdraEcQwqT7GhUkh,https://api.spotify.com/v1/audio-analysis/2NVpYQqdraEcQwqT7GhUkh,280853,4
15,0.879,0.581,0,-6.078,1,0.0723,0.117,0.0,0.0435,0.629,114.226,audio_features,7KEguG3CDoestm50v6XET5,spotify:track:7KEguG3CDoestm50v6XET5,https://api.spotify.com/v1/tracks/7KEguG3CDoestm50v6XET5,https://api.spotify.com/v1/audio-analysis/7KEguG3CDoestm50v6XET5,234707,4
16,0.889,0.646,7,-6.366,1,0.0668,0.195,3.19e-05,0.0502,0.966,110.842,audio_features,0mLAgHQP1BOkoHhDu622BQ,spotify:track:0mLAgHQP1BOkoHhDu622BQ,https://api.spotify.com/v1/tracks/0mLAgHQP1BOkoHhDu622BQ,https://api.spotify.com/v1/audio-analysis/0mLAgHQP1BOkoHhDu622BQ,213427,4
17,0.829,0.65,10,-9.691,1,0.06,0.136,2.15e-05,0.15,0.751,108.398,audio_features,57b0v2TB75b3ON5g5e8Q6N,spotify:track:57b0v2TB75b3ON5g5e8Q6N,https://api.spotify.com/v1/tracks/57b0v2TB75b3ON5g5e8Q6N,https://api.spotify.com/v1/audio-analysis/57b0v2TB75b3ON5g5e8Q6N,321067,4
18,0.829,0.71,11,-8.736,1,0.0415,0.115,0.145,0.0541,0.949,98.293,audio_features,0DVevhcLPiHoLaVyl6dSGr,spotify:track:0DVevhcLPiHoLaVyl6dSGr,https://api.spotify.com/v1/tracks/0DVevhcLPiHoLaVyl6dSGr,https://api.spotify.com/v1/audio-analysis/0DVevhcLPiHoLaVyl6dSGr,249000,4
19,0.894,0.67,11,-9.406,0,0.0474,0.172,0.000363,0.0691,0.961,127.209,audio_features,1CgmY8fVN7kstVDZmsdM5k,spotify:track:1CgmY8fVN7kstVDZmsdM5k,https://api.spotify.com/v1/tracks/1CgmY8fVN7kstVDZmsdM5k,https://api.spotify.com/v1/audio-analysis/1CgmY8fVN7kstVDZmsdM5k,239027,4
20,0.734,0.583,2,-11.866,1,0.129,0.125,0.0,0.0367,0.76,109.935,audio_features,3nFJbZCHP4d9vduKjJLdBL,spotify:track:3nFJbZCHP4d9vduKjJLdBL,https://api.spotify.com/v1/tracks/3nFJbZCHP4d9vduKjJLdBL,https://api.spotify.com/v1/audio-analysis/3nFJbZCHP4d9vduKjJLdBL,230467,4
21,0.826,0.9,9,-4.383,0,0.0411,0.112,0.00136,0.0875,0.954,132.099,audio_features,3h5IJ0EzVpkiaoL174GC3M,spotify:track:3h5IJ0EzVpkiaoL174GC3M,https://api.spotify.com/v1/tracks/3h5IJ0EzVpkiaoL174GC3M,https://api.spotify.com/v1/audio-analysis/3h5IJ0EzVpkiaoL174GC3M,287000,4
22,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,audio_features,3koCCeSaVUyrRo3N2gHrd8,spotify:track:3koCCeSaVUyrRo3N2gHrd8,https://api.spotify.com/v1/tracks/3koCCeSaVUyrRo3N2gHrd8,https://api.spotify.com/v1/audio-analysis/3koCCeSaVUyrRo3N2gHrd8,339320,4
23,0.797,0.504,6,-10.533,1,0.0411,0.406,0.015,0.0313,0.849,98.871,audio_features,1MOl6vGP299N8vd4zaHMTE,spotify:track:1MOl6vGP299N8vd4zaHMTE,https://api.spotify.com/v1/tracks/1MOl6vGP299N8vd4zaHMTE,https://api.spotify.com/v1/audio-analysis/1MOl6vGP299N8vd4zaHMTE,376640,4
24,0.815,0.513,0,-8.196,1,0.036,0.00024,0.471,0.0811,0.848,110.871,audio_features,3SiUv5vf79EuP0VjIZJ9A2,spotify:track:3SiUv5vf79EuP0VjIZJ9A2,https://api.spotify.com/v1/tracks/3SiUv5vf79EuP0VjIZJ9A2,https://api.spotify.com/v1/audio-analysis/3SiUv5vf79EuP0VjIZJ9A2,349133,4
25,0.748,0.499,5,-14.177,0,0.0648,0.127,0.000107,0.116,0.845,100.262,audio_features,2smHxX4ZmwamJ1Cu3BM3Os,spotify:track:2smHxX4ZmwamJ1Cu3BM3Os,https://api.spotify.com/v1/tracks/2smHxX4ZmwamJ1Cu3BM3Os,https://api.spotify.com/v1/audio-analysis/2smHxX4ZmwamJ1Cu3BM3Os,300733,4
26,0.854,0.776,8,-9.85,1,0.217,0.436,0.175,0.0549,0.656,111.212,audio_features,0xbkxTqSaW5blsYgRXpB5I,spotify:track:0xbkxTqSaW5blsYgRXpB5I,https://api.spotify.com/v1/tracks/0xbkxTqSaW5blsYgRXpB5I,https://api.spotify.com/v1/audio-analysis/0xbkxTqSaW5blsYgRXpB5I,280933,4
27,0.753,0.677,9,-7.575,0,0.0424,0.0426,0.0037,0.0699,0.906,95.144,audio_features,1nrIaUgk4D5gI1yqQcsu3W,spotify:track:1nrIaUgk4D5gI1yqQcsu3W,https://api.spotify.com/v1/tracks/1nrIaUgk4D5gI1yqQcsu3W,https://api.spotify.com/v1/audio-analysis/1nrIaUgk4D5gI1yqQcsu3W,243480,4
28,0.859,0.676,2,-5.515,1,0.0596,0.337,0.000829,0.0307,0.967,102.847,audio_features,4bH4V6scr0RXTEX492Yzwc,spotify:track:4bH4V6scr0RXTEX492Yzwc,https://api.spotify.com/v1/tracks/4bH4V6scr0RXTEX492Yzwc,https://api.spotify.com/v1/audio-analysis/4bH4V6scr0RXTEX492Yzwc,325280,4
29,0.739,0.566,11,-13.534,1,0.0335,0.384,3.1e-06,0.0735,0.739,114.045,audio_features,4EUlszQIxlPwiHJ6e6j6Gy,spotify:track:4EUlszQIxlPwiHJ6e6j6Gy,https://api.spotify.com/v1/tracks/4EUlszQIxlPwiHJ6e6j6Gy,https://api.spotify.com/v1/audio-analysis/4EUlszQIxlPwiHJ6e6j6Gy,325173,4
30,0.852,0.541,11,-15.128,1,0.0907,0.0949,0.0,0.0922,0.889,117.256,audio_features,3geEOHGloO2IIzE45BQWTC,spotify:track:3geEOHGloO2IIzE45BQWTC,https://api.spotify.com/v1/tracks/3geEOHGloO2IIzE45BQWTC,https://api.spotify.com/v1/audio-analysis/3geEOHGloO2IIzE45BQWTC,314827,4
31,0.767,0.925,2,-7.473,1,0.107,0.15,0.000159,0.409,0.732,113.669,audio_features,5lAH3vLN4Gc3jDM25cMIgH,spotify:track:5lAH3vLN4Gc3jDM25cMIgH,https://api.spotify.com/v1/tracks/5lAH3vLN4Gc3jDM25cMIgH,https://api.spotify.com/v1/audio-analysis/5lAH3vLN4Gc3jDM25cMIgH,385573,4
32,0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,audio_features,3SnGymj6ijE2iuUfWxLo1q,spotify:track:3SnGymj6ijE2iuUfWxLo1q,https://api.spotify.com/v1/tracks/3SnGymj6ijE2iuUfWxLo1q,https://api.spotify.com/v1/audio-analysis/3SnGymj6ijE2iuUfWxLo1q,323347,4
33,0.793,0.903,0,-8.014,1,0.0459,0.15,3.67e-05,0.199,0.911,113.201,audio_features,6zVGwCyDWoWMOLDAoycZ1j,spotify:track:6zVGwCyDWoWMOLDAoycZ1j,https://api.spotify.com/v1/tracks/6zVGwCyDWoWMOLDAoycZ1j,https://api.spotify.com/v1/audio-analysis/6zVGwCyDWoWMOLDAoycZ1j,258667,4
