,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
81,0.571,0.903,7,-2.184,1,0.214,0.0615,1.23e-06,0.186,0.477,127.951,audio_features,7iT98FhZ7BAE8xdCxBlw55,spotify:track:7iT98FhZ7BAE8xdCxBlw55,https://api.spotify.com/v1/tracks/7iT98FhZ7BAE8xdCxBlw55,https://api.spotify.com/v1/audio-analysis/7iT98FhZ7BAE8xdCxBlw55,206320,4
82,0.46,0.628,0,-6.665,0,0.225,0.0673,0.0,0.0934,0.354,111.156,audio_features,7iTloMifzZo9ZNZKEe4V2V,spotify:track:7iTloMifzZo9ZNZKEe4V2V,https://api.spotify.com/v1/tracks/7iTloMifzZo9ZNZKEe4V2V,https://api.spotify.com/v1/audio-analysis/7iTloMifzZo9ZNZKEe4V2V,263693,4
83,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,audio_features,7iXF2W9vKmDoGAhlHdpyIa,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/tracks/7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/audio-analysis/7iXF2W9vKmDoGAhlHdpyIa,222293,4
84,0.467,0.771,3,-3.738,1,0.0668,0.0138,0.0,0.0956,0.36,172.685,audio_features,7iYMW4Ww40RAbfeccmzMQa,spotify:track:7iYMW4Ww40RAbfeccmzMQa,https://api.spotify.com/v1/tracks/7iYMW4Ww40RAbfeccmzMQa,https://api.spotify.com/v1/audio-analysis/7iYMW4Ww40RAbfeccmzMQa,219191,4
85,0.602,0.741,7,-8.825,1,0.337,0.0808,0.084,0.305,0.357,178.616,audio_features,7ijXITJ7C9HgpU65GHs2Zr,spotify:track:7ijXITJ7C9HgpU65GHs2Zr,https://api.spotify.com/v1/tracks/7ijXITJ7C9HgpU65GHs2Zr,https://api.spotify.com/v1/audio-analysis/7ijXITJ7C9HgpU65GHs2Zr,303253,4
86,0.65,0.637,9,-6.195,1,0.0369,0.0814,0.000607,0.51,0.575,140.115,audio_features,7ikRId3U9AXd6tfF2fbItC,spotify:track:7ikRId3U9AXd6tfF2fbItC,https://api.spotify.com/v1/tracks/7ikRId3U9AXd6tfF2fbItC,https://api.spotify.com/v1/audio-analysis/7ikRId3U9AXd6tfF2fbItC,145222,4
87,0.825,0.598,8,-7.158,1,0.0374,0.00305,0.0,0.125,0.375,108.044,audio_features,7isbPMomU1kbgaNKOFocGJ,spotify:track:7isbPMomU1kbgaNKOFocGJ,https://api.spotify.com/v1/tracks/7isbPMomU1kbgaNKOFocGJ,https://api.spotify.com/v1/audio-analysis/7isbPMomU1kbgaNKOFocGJ,171440,4
88,0.636,0.836,8,-3.004,1,0.0427,0.00609,0.000157,0.0828,0.715,139.956,audio_features,7j56HrjR9cGzvekvZY3Faz,spotify:track:7j56HrjR9cGzvekvZY3Faz,https://api.spotify.com/v1/tracks/7j56HrjR9cGzvekvZY3Faz,https://api.spotify.com/v1/audio-analysis/7j56HrjR9cGzvekvZY3Faz,193253,4
89,0.689,0.587,7,-7.979,1,0.161,0.00961,0.0,0.118,0.157,142.051,audio_features,7jDkOdfBy7D5MJVKCxQQ2J,spotify:track:7jDkOdfBy7D5MJVKCxQQ2J,https://api.spotify.com/v1/tracks/7jDkOdfBy7D5MJVKCxQQ2J,https://api.spotify.com/v1/audio-analysis/7jDkOdfBy7D5MJVKCxQQ2J,245800,4
90,0.635,0.496,0,-7.301,1,0.0936,0.443,0.0,0.121,0.373,121.696,audio_features,7jSYbtjRLmIoIxqCd7HVsm,spotify:track:7jSYbtjRLmIoIxqCd7HVsm,https://api.spotify.com/v1/tracks/7jSYbtjRLmIoIxqCd7HVsm,https://api.spotify.com/v1/audio-analysis/7jSYbtjRLmIoIxqCd7HVsm,235082,4
