,id,artist,title,album,popularity
70,33VCIFyphsTdo4DBDKkrhy,Winterflood,In the Dark,In the Dark,29
71,77QrmJAISNg6ZRGikScJlC,David Alexander,Crazy,Crazy,43
72,3SsgWnea06WdgZHu6rhOhU,$amuraï,Cobardes,Cobardes,0
73,2wB18h8T6qglbWcU4KJQxZ,Dad,Fresher,Fresher,1
74,4sT9knZS0gvM3CNOGwUQgT,eevee,anticipation,ep highlights,11
75,2Tl52E14WnNgjBk258km2t,Axian,Autumn Leaves,Chillhop Essentials Fall 2017,0
76,2V3aBTKWMnEkjzABx6Sj80,Poptartpete,BadHabits,8 Cavities,44
77,081ySMgn2BbxK2cScqCA8M,BluntOne,Blazar,Blazar,43
78,2yuM3iVvrDQ5g0in42E6Un,Dream Easy Collective,Blooming,Palettes,36
79,4RIu43eVxjbWuUhNwTUxwb,Philanthrope,Blue (feat. Drwn.),Clockwork,0
80,6TZe9eIEgoAWAhHk9Vke4Y,Otesla,Blue Sea,Phalgu,43
81,2CMIGVLAz6NfD9fdfdhbBp,idntrmmbr,blunt.,blunt.,0
82,7zr8WNtbIuGOAPvw6lOKlF,Bonnaz,Cabin,Clouds,42
83,1Baom7De1BoTlJb3YcLR3d,[bsd.u],charlie,pook,0
84,2DXv3wb4RoQA15QMnMYdOs,Made in M,Chinua,Chillhop Raw Cuts,0
85,4DyV4ubiYGvqCAp18O5SNo,Philanthrope,Clockwork (feat. Tusken.),Clockwork,0
86,4OIc7I3YEUfGbqXxAbHIqI,Kazam,cocktail on the seaside,0.1,43
87,2D9hcvCl5JhpmmqPVPgAFG,Keem the Cipher,Come My Way,Chillhop Essentials Fall 2017,0
88,1fmGSSlJXOrjAoH9g1ZlL1,CoryaYo,Daybreak,Young Vibes,42
89,6MPds6qhyIUChcBwog21kx,Otesla,East,Chillhop Essentials Fall 2017,0
90,7t5Fj389SIAdjlwPts8IfS,MadBliss,elder,miniwheats ep,0
91,3iOZ2eAujk3YFpCRlORNDY,Jinsang,empty,Confessions,49
92,6wpvLX37NJ7ctUkDhoCjOm,Philanthrope,The End (feat. Fujitsu),Clockwork,0
93,730codipgCPVdeAQaFkT2l,invention_,epiphany,Hibernature,40
94,3gvKQA00oZz8D36CaErYnd,Keem the Cipher,Escapism.,(Exploration.),40
95,2MaUM2Oc1E9xD8lkzSJBOK,DRWN.,Estate,Chillhop Raw Cuts 2,0
96,6uOkYKiWUGYrixPVhnc5DW,The Deli,Everyday,Encounters,42
97,0cvlbEsnA6mDMdt5oaWWbf,Goldenninjah,Eyes,Eyes,38
98,5Szk4n51r60dIaWOiyImel,Walterwarm,Feelin' Good,Summer Break,40
99,2349ewAw7d9nG5v3TEOpLZ,Omaure,Firewall,Papaya,38
100,274h8Y0DZUBfFHLxQQuRjQ,Philanthrope,Flke,Clockwork,0
101,71m9ElHMXOCBc02zU0HpJp,invention_,fmrl_unrslv,Hibernature,42
102,1DiyYPW5kCtJufYQO4Qa4O,Beatboxbandit,gamblers,make things right,42
103,3q5FKCRd7JigFL8PpXmjs1,Nohidea,gardenia,Esuna,0
104,2e1gvazDx0mxQdBVXFEVGm,Mujo,Harakiri,Lagoon,44
105,5NwaGsTk3xjFdL0sKgdaqn,Dewaldo,Helado,Dewaldo,37
106,13a6OAPkYTJfzxlHz9qOBS,Kendall Miles,Her,Her,50
107,7ajWaI3IxzbXW4sZR8cLm3,BluntOne,Herb Garden,"Connections, Vol. 1",41
108,0ToFY6oUqUI6EVAGRNDPJU,Leavv,Home,Chillhop Raw Cuts 2,0
109,5BLsF6LQoDr2Ashad8RbmN,Philanthrope,Hope (feat. Mono:Massive),Clockwork,0
110,4YMT9Yn8FYMnDNzH5Zaudb,Nymano,I Wish I Could Sleep,Chillhop Essentials Winter 2016,0
111,1ZzpnNOU6rbXFZEm4MBdjR,aimless,i've been missing you lately,beats from 2017,50
112,5qIO0RCafAhDgS1Oolf4BM,Celph Titled,Interlude 6 (Instrumental),Nineteen Ninety Now: The Instrumentals,36
113,6EHLaTcDIEpNpic43B4366,Fujitsu,Its All Luv.,Its All Luv.,37
114,1Sx4wu6zJrQMxdtRLOLg4h,Sugi.wa,Je T'aime,Chillhop Raw Cuts 2,0
115,0rZNCbrFDaKrbMnv56CPiq,Nohidea,l'amour [intro],home movies,0
116,77gpoAXr4JnvV4ZIhxfpJB,Philanthrope,Leavin',Clockwork,0
117,75OdTv8EDHl4OaEn8CTr8q,emune,Lemon Haze,SP-Ecials,0
118,67YJf91vG2LlI0GmrJYg9q,Bilo 503,lit,Arecibo,0
119,70A7AWqVy4RLOLRrPzoWUE,Toonorth,Mabey,Melancholy,42
120,54lQt6D8bhZTYFP7WS4Tar,Smoke Trees,Maceio,Into The Deep,36
121,1kxFReg4kxl2gkdYk105Xv,mt. fujitive,Melanin,Chillhop Raw Cuts 2,0
122,5TCnWbhNC68ZlPQ1AuVWDw,Sugi.wa,Memories,Chillhop Essentials Fall 2017,0
123,0qsyHYuKlXzDkkMjz6XY7o,Flitz&Suppe,Moanin,Mirage,34
124,679dZ8IT5Efh4nTZ4YLG5r,Sleepdealer,Molly,Dreamland,0
125,1hd6bN5UXGc8qPGwJBqEx3,Through & Through,Mom,Mom,39
126,6CwnVmFH9NlrPMFwZkh0qJ,Fujitsu,Motions,Corals,0
127,4rl5ZnmQ1a681KMMKNH6fL,Kreambeat,Moves,Moves,0
128,2NNOY5a1KMNRKkdY0it83q,tusken.,Mr.Toast,Chillhop Essentials Fall 2017,0
129,360ZbFeuSVBsYnhtCU2jGn,emune,Paraiso,SP-Ecials,0
130,2mx9z7ERJtHATKNZSP3qd2,Flughand,Peninsula,Peninsula,0
131,545h9K5jXw9Webnj8LHPZ4,[ocean jams],preamble,radio.wavs//volume.2,0
132,1Axv5ZjgGCCLq5509xhYiY,Philanthrope,Pueblo,Pueblo,0
133,7qpz7T6evK4gSbLJJC7mrx,Flughand,Puguliese,Chillhop Raw Cuts,0
134,7InnWYgIoRTKt3qu0rkxDm,slr,Push,Push,33
135,1bNqZcVViZ08tvEdwi4bih,invention_,querencia,Hibernature,34
136,2VrLl8JVibZmkCtBMWfvYR,Philanthrope,RealEstate,Clockwork,0
137,0Pb78u1M7Aj2GknMZQNF5F,Jazz Dialogue,Rekursion,Quintessenz Und Ihre Nuance Instrumentals,33
138,2VnKo1kUEFkM5CwzsreulS,enjo,RideOut,EnjoyLife,49
139,3yEgq0Vclg7jaeUW8Zw5Lx,Wun Two,Seasons,Baker's Dozen: Wun Two,36
140,6sBOOVJB3sOacz5jiuSs9e,Estugarda,Shroom,Estugarda Neighborhood,34
141,1mJXiU7N06j01xGak11FyB,HM Surf,Snow,Iguana,34
142,6Ik6RzSVm04ZcGGv0wBrnX,Nymano,Sorry,Chillhop Essentials Fall 2016,0
143,7uZYaN7ubCsO1T5QkweHjg,Badsummer,Still Shining,Chillhop Essentials Summer 2017,0
144,5D8tvL6Hj9FWwZpds2CHsO,frumhere,sunday afternoon wine,i still have things to say,0
145,1xAbUDhshbqALHIE1DcQbY,Arbour,Sunday Piano Music,Luv Songs,48
146,3NY4cDoNlft0ejRpPRO2nX,Minthaze,Take it Easy,Captivating,0
147,4XJt0lncTRoYmZB0Y096na,Nohidea,this is a love story.,this is a love story.,0
148,1Hurris7vqmWVt77sY3i7b,BluntOne,Time,"Connections, Vol. 1",38
149,0ggWXuDQjK8EoQAFWQkJHX,Floreyyyy,Timeless,Timeless,46
150,0A81XeJ8QCrj4sud6z4dDY,Gorila,Trueb,Mosaic,0
151,1lXpeQ09DJtCXh2sTZfFRb,Flughand,Tykky Interludium,peaceful weibs,40
152,3m14rbQLGX2IYMcbY6HEnx,DRWN.,Views,Views,0
153,1WVcBCMEt5UgvFGTiEbhsn,BudaMunk,Visions of You,Spirit of the Golden Era,32
154,2YbcTvLtJIFHPEmAUE8FQ4,invention_,Vscrl,Chillhop Essentials Fall 2017,0
155,278zobyI14d3iaE39jGfHM,j'san,waking up in the park,waking up in the park,50
156,7Co0AXDtHg2JYytOFOfFpp,Aso,Waking Up Late.,Waking Up Late.,33
157,4WxDSSWktm6c3GPXI4PVMH,Robot Orchestra,Winding Rhodes,Chasing Rainbows,32
158,76bqpXdcQBtnQw6ByKQjvO,Blvk,Withu,Beat Batch #3,55
159,5IcbzJcezQV3vSHWAZSfrQ,Arbour,xdewaldo,Luv Songs B Sides,0
160,1hp70dKiRTk9SjHNRbHITW,xJK.,xJK x Axian,xJK x Axian,0
161,6YDa3o8fvT50hOVqlZKchS,Twit One,Zuelpicher Blues,Stepping Stones,0
162,0s16B6MonhpSJXF5ZG5qNd,BluntOne,TheWhut,Chillhop Raw Cuts 2,0
163,3Py2YxAi43YdmicUVO6odp,Fushou.,BornAgain,Chillhop Raw Cuts 2,0
164,5tnjZFG6BvOyaAVPxEiQUq,Juan Rios,Noche,Chillhop Raw Cuts 2,0
165,1m3yRKDr2YJOK42d5ovteo,fantompower,Things Work out Eventually,Chillhop Raw Cuts 2,0
166,5IXXsxzjPwgj2L3tUxQd4k,Made in M,Pero Asi,Chillhop Raw Cuts 2,0
167,16W27RyNLBHqONbKpHNlMB,Bassti,Warm but Cold,Chillhop Raw Cuts 2,0
168,4Gz8udKY7q5nPOipVbEB2q,Jinsang,Slumpin,Chillhop Raw Cuts 2,0
169,1f3ApIV33chWRerY5QNaDc,Idealism,Both of Us,Chillhop Raw Cuts 2,0
170,323ZdBaBzT0jH3h686EeOL,emune,Morena,Chillhop Raw Cuts 2,0
171,2DS5SCEwV8M3ZFj3rgoBYd,tusken.,Premace,Chillhop Raw Cuts 2,0
172,5lUsdrOMbkw0wmZW2ZnjqH,Beatboxbandit,One Last Thing,Chillhop Raw Cuts 2,0
173,768fNTfiXpPR0DHQQXi1S9,Philanthrope,Dromeda,Chillhop Raw Cuts 2,0
174,4ig6K4aDyWM4VaQ7OzUC0X,Tesk,DatSwing,Chillhop Raw Cuts 2,0
175,7lRsXfGnY0PBSxVMIxuHME,Joakim Karud,Dreams,Dreams,58
176,30wUXhH7EUK84rVYN24KyF,Joakim Karud,Canals,Chillhop Essentials Summer 2016,0
177,5GEfZzWDUTRi5UvOyu1AZq,Joakim Karud,Love Mode,Love Mode,51
178,4Us6nbNAIuZWaZrNtbgiwq,Joakim Karud,Longing,Longing,46
179,1J3TC9VpjZ76LIsPT5KnCd,Jeff Kaale,Footsteps,Chillhop Essentials Summer 2016,0
180,6ugrRFZUNIpLiqhLUgC7ix,The Deli,Flowers,Vibes 3,64
181,4UvGBQU3zPO5IcagzHDIxS,Moods,Love Is Real,Sincere - Single,55
182,3pUMsLZIy50bhHOR8K8EKG,Tomppabeats,Far Away,Harbor,54
183,70AvqwCfLnKMj3HvJDCXyW,Joey Pecoraro,Your Eyes,Little Pear,57
184,3TQV0R0LWLVJ441S7aqvaW,Joakim Karud,Keep on Going,Keep on Going,39
185,3ZB4h7rWKKIMC06EzFiuE9,Freddie Joachim,Shoulder Kiss,Study Guide,49
186,1jDSAGBkTiV8gQ2MmUFctn,Idealism,nagashi,rainy evening ep,0
187,5HfsYcfwnViz2szitu97JP,Force Of Nature,Just Forget,Impression: Samurai Champloo OST,42
188,3XQPnVdtFJl7oFRHGuNCpa,Saib,West Lake,Chillhop Essentials Fall 2017,0
189,5ADZ01Nc1PxzQlH5rTJsx2,Leavv,Within,Chillhop Essentials Fall 2017,0
190,5GPmhFrsj0l8DPskySiabd,B-Side,Sky,Chillhop Essentials Fall 2017,0
191,7E1P65m8kSWvcuAGGooRcJ,Devaloop,Rooftop Terrace,Chillhop Essentials Fall 2017,0
192,6s3nF4cPHbVJwDB3Ra6IuJ,L'Indécis,Le Sud,Chillhop Essentials Fall 2017,0
193,0FHTeApaxI1a033O1MKkzk,Badsummer,Floating,Chillhop Essentials Fall 2017,0
194,7kPtQg40rNBT7gZbQJGF4i,Flitz&Suppe,Level U,Chillhop Essentials Fall 2017,0
195,5fgABsQIxLAnTvWekDFfa2,Mr. Käfer,Settle Down,Chillhop Essentials Fall 2017,0
196,61C76QmhdB8VBWVAzhnxcJ,FloFilz,Lucie,Chillhop Essentials Fall 2017,0
197,0417hKKcGre829Fp6k2j4Y,Monma,Cruise Control,Chillhop Essentials Fall 2017,0
198,0Y5Cki4LarjHXaQxKs8zPu,Stan Forebee,Our Dream,Chillhop Essentials Fall 2017,0
199,7LUOkkPsItbwerwI3E6tF9,Aso,Soul Vibe,Chillhop Essentials Fall 2017,0
200,0GqPBl1V9SUKwElbFx6AgB,Robot Orchestra,GoldenBrown,Chillhop Essentials Fall 2017,0
201,3qOER0Qq0TTarquuyrAzyl,Mono:Massive,Space Drift,Chillhop Essentials Fall 2017,0
202,65VQErOebcfHgrrX00JA6n,Pabzzz,Together,Together,0
203,6V3kIpWpU3i2JXDKSFCPM7,Philanthrope,Cycles,Chillhop Essentials Fall 2017,0
204,51v7yO07BdGgP6hv0OaDe2,John Powell,Romantic Flight,How To Train Your Dragon (Music From The Motion Picture),59
205,00iwQgjIgoGO94BRBDyClo,Kudasaibeats,The Girl I Haven't Met,Falling,64
206,0Z23yVp0oSHPQYYUqyRhlV,eery,Just a Sec,Her,12
207,5qXFkbWAsbwfvkZ65HBFqv,Knowmadic,you,bumps,0
208,4oolI1EV0KOP7q5zUm62da,Nymano,See U Tonight,Nymano,0
209,0gno8A8N88rC2qHtKPzvjz,tusken.,arawe,borders - EP,24
210,29nTPJbxCs5P3XBF3gdoKE,Flughand,Hyvin,Gudina,29
211,6IsX4N6M7i9OrYc4t70Swv,A L E X,The Burn Marks on My Epiano Wont Go Away,"Growing Up, Vol. 1",57
212,7hwtjnXhRt12IUeP7H9nqJ,Philanthrope,Heartburn,Clockwork,0
213,5TucPeyuHxvIc33g7n8qfd,Nohidea,rose garden,osho,0
214,4zRuwDGvAbzZxCGYhjYePT,tides.,midnight in paris,oldsoul.,0
215,2vgXquAhIljHxPCwjK3Y3B,less.people,∆,Origins,36
216,0q5t7MYgLsG6uplwdxAltv,Ian Ewing,4:21 pm,Chillhop Essentials Winter 2017,18
217,29jRqSCAiqnufz2MVNS5LU,slr,05.wav,Graphite,0
218,0Bsj4jyRKZ6dq964a983rt,tusken.,alnyda,borders - EP,29
219,60EkFnRSHQ8nnofL3Wns5X,j'san,Alone by Your Side,Alone by Your Side,54
220,6KwVFziZVwbCdwEXMT6RVQ,j'san,Alone by Your Side,"Hip Dozer, Vol. 2",27
221,7BpcNm67zS57Qf0RVOI7De,Philanthrope,Aspiration,Chillhop Essentials Winter 2017,29
222,72r04MeYrO4SflO1sGe2Tz,Wun Two,autumn,Seasons,37
223,3HuU02yMVfrCguNrBFAGJu,Green Assassin Dollar,Aware,Seed.TΔpe,0
224,76HoCTt7Lspfu05S23oMa0,Philanthrope,Birth,Clockwork,0
225,5fDMSoh6h3hlSkRnTpHnRd,baaskaT,Bittersweet,Flickshots & Quickscopes,0
226,1dycz0YLUKcpRt4SN6l8DQ,invention_,Black[Ice],Alcyone,0
227,4KkSFPHwZdMb5BXrfETPQK,Wun Two,Borboleta,Baker's Dozen: Wun Two,29
228,2gG1vugUjRAJyYt6SwosEr,Juan Rios,Bosque,Natura,27
229,7yIs0DwUxXOh5Sw1BX9qTT,slr,break,break,0
230,3qMPJ51LS8OTC3TTZZ9Y66,The Deli,Breeze,Chillhop Raw Cuts,0
231,26LfO7v0NEubWsFFGrqeim,emune,Brown Eyes,Sorry,0
232,6hz8bXGCM8BoDqC6Y3DYiE,invention_,Brzzy_bump,Alcyone,0
233,0qt7miEc1Yi05YlOEZonPq,Juan Rios,Búho,Natura,29
234,0OkYTtA6SWKyiho6NqV2dr,Green Assassin Dollar,Cannabis,Stem.​TΔpe,0
235,1Hc0hSHRLwDGCdyJb0pWdh,B-Side,Change,When Streets Are Empty,0
236,24Lg8ci8pExyxoaJKAUvTb,Aair,A Charlie Brown Christmas,Almost Blue,35
237,6FRqV0YP0tyazXOIxexjW5,Minthaze,Cherry Weed,"Hip Dozer, Vol. 2",35
238,1Kuw9PXM3XzDUuLekUrV1E,Wun Two,Chimney,"Snow, Vol. 2",31
239,0aO7beegfTzrpbSDBLct2K,Aso,Cold,Cold,29
240,5bdAaOQbVKYQdmF72uVcub,emune,Contigo,Sorry,0
241,7pAwFD2HMqGxTnDq8ujxMZ,Idealism,controlla,rainy evening ep,0
242,3b63o7pis3sznct3Z6EN24,j'san,cozy winter,Chillhop Essentials Winter 2017,27
243,4XTQD5Zxr6qoSrWCp3f7V1,Flavors,crystals,dusk [beat tape],0
244,2ZPhj6gZXvbDu83luz9Vgz,DRWN.,dark blue,levitation,37
245,5qOLRc6CknyjK5CFtzkuBu,Misc.Inc,Descendant.,Compound Changes.,29
246,20QoSODfbyi5PxpRTtfw1s,Idealism,dont say a word,amaranthine [ep],0
247,0jKSgX3JXG7kAW80nohtlG,tusken.,drip'n,borders - EP,38
248,6qMExjyIOHf4M5rf8Ft2AA,J.Robb,Drumss,Soulection White Label - J.Robb,42
249,5OblAKoVl6oVaNGepywPAF,invention_,Dw3ll,Alcyone,0
250,2SDzFA75K7xbZO0IHb9cmg,emune,Elena,The Chronic,28
251,6IQZ4aWSnWZm8Cohq1kF0M,wuf,Floating,Days / Winterwarm,49
252,4OQCm6H7cjrXbcgRYvKtyN,Juan Rios,Freedom,Chillhop Raw Cuts,0
253,20fcvmSDxFfoAbPWZdUgr2,Mujo,Geisha,Lagoon,36
254,2KysSODg8CUWzXUZLLJeXH,deadxbeat,gethiwithmi,meraki,0
255,527ATu4JYFdAlNjveGik8W,Psalm Trees,Goodbye,Autumn Turned Winter,30
256,4V6p2lEiINdWnkU8jgbY9G,chief.,greens,late nights,0
257,43f0blgAEYfEiMr7PgXd9W,Juan Rios,Hawaii,Hawaii,44
258,7pC47CSXphMdfZjbFPPalW,Allem Iversom,Held,Without You,31
259,3XlnxDVJByPgHUoqduZR8l,Lord Folter,Home Sweet Home - Instrumental,Rouge (Instrumentals) - EP,0
260,48r4Fu5EiN9u2N1XvNyiq5,B-Side,Hopeful,When Streets Are Empty,0
261,5EdfiBdRl1ukDZ6qfMUepQ,dude26,Interlude 1 - Instrumental,Zimmer 26 (Instrumentals),26
262,7ndgvwVoauGUamXOVPuyM6,Smoke Trees,Intersomnia,KO-OP 1,35
263,46ExOyhzdSrhC3f3XtRgHM,Kendall Miles,Isla Bella,Isla Bella,0
264,7bXZgpxlT5NVHwfF5tVPGZ,glue70,Kakuna,Chillhop Raw Cuts,0
265,2hSAWaJlZQ524iRmIgvugV,Xfruge,Kanna,8:03 AM,0
266,7fdSKZWPpQO5gnSbLgkQQE,Robot Orchestra,Keep Me Warm,Chillhop Essentials Winter 2017,14
267,223AWB9mxhCiKirf1lDoaJ,enjo,Keep On,EnjoyLife,30
268,4QwmvHkNtOdVChpTNdGzdR,Fujitsu,La Ala Ala,La Ala Ala,37
269,3Emsg8rhGkdaKwYxH7XEqd,Flitz&Suppe,Lah'mu,Nomads Void,27
270,5vSUFyNKpv64p2oIrcHqb9,Idealism,latenite,Chillhop Essentials Winter 2017,25
271,1sIl6Bnlk8F09aU7PmXYy7,Henace,Laub,Late Pick Ups,0
272,2li2YIAG0WR8wlkgyUbmST,Idealism,Lonely,Chillhop Raw Cuts,0
273,0ujKToMUK397vGW6UPzGzp,Manny,Lost,Poem,29
